date,hcw_2nd_doses,total_2nd_doses,hcw_cases,all_cases
2021-04-28,114353,284925,5,2012
2021-04-29,142180,335858,0,1871
2021-04-30,162500,381848,0,1583
2021-05-01,163381,386703,32,1891
2021-05-02,163703,387447,3,1940
2021-05-03,166262,392546,2,2041
2021-05-04,168815,422511,10,1763
2021-05-05,174793,434114,5,2112
2021-05-06,185713,450524,7,1911
2021-05-07,198251,467785,6,2044
2021-05-08,199554,470054,9,2419
2021-05-09,205837,513454,8,2101
2021-05-10,211569,532462,3,1630
2021-05-11,243523,563552,5,1919
2021-05-12,307958,645233,7,1983
2021-05-13,360204,708300,6,4887
2021-05-14,413033,779388,7,2256
2021-05-15,413033,779388,8,3095
2021-05-16,414103,781606,1,2302
2021-05-17,438932,819961,1,9635
2021-05-18,459696,859872,13,2473
2021-05-19,483428,892245,3,3394
2021-05-20,510599,921825,3,2636
2021-05-21,534771,962156,2,3481
2021-05-22,537431,966759,6,3052
2021-05-23,538839,969099,3,3382
2021-05-24,545346,980190,2,2713
2021-05-25,549620,989618,5,3226
2021-05-26,552196,994161,7,2455
2021-05-27,552196,1027746,0,3323
2021-05-28,568871,1088222,4,3759
2021-05-29,596228,1094523,10,4803
2021-05-30,597281,1110953,12,4528
2021-05-31,598766,1125368,9,5485
2021-06-01,607521,1162346,10,2230
2021-06-02,619804,1221067,10,3440
2021-06-03,633121,1233830,11,3886
2021-06-04,640058,1324268,16,2631
2021-06-05,665143,1345216,9,2817
2021-06-06,670149,1363053,4,2671
2021-06-07,672507,1391028,6,2419
2021-06-08,672507,1434697,17,2662
2021-06-09,672507,1434697,9,2680
2021-06-10,672507,1523614,7,2310
2021-06-11,672507,1523614,12,2290
2021-06-12,672507,1523614,9,3277
2021-06-13,672507,1656210,5,2804
2021-06-14,672507,1749121,14,3355
2021-06-15,672507,1832589,4,3000
2021-06-16,672507,1889028,6,2331
2021-06-17,672507,1967137,14,3129
2021-06-18,672507,2048964,12,3058
2021-06-19,672507,2101086,18,3667
2021-06-20,672507,2101086,6,3682
2021-06-21,672507,2227848,16,3175
2021-06-22,648582,2303814,42,4059
2021-06-23,652765,2382896,19,3174
2021-06-24,657188,2451070,13,4108
2021-06-25,660950,2546170,25,3644
2021-06-26,664640,2579315,16,4160
2021-06-27,664944,2609662,16,3996
2021-06-28,664944,2695394,15,5406
2021-06-29,668035,2762537,20,4662
2021-06-30,671290,2816844,32,4786
2021-07-01,673835,2862598,14,5533
2021-07-02,678030,2862598,29,6087
2021-07-03,678030,2949747,19,6230
2021-07-04,679276,2973094,20,5916
2021-07-05,679407,3036361,13,6166
2021-07-06,681274,3082746,20,5420
2021-07-07,683076,3125388,37,6519
2021-07-08,684712,3175841,39,7058
2021-07-09,686886,3245378,37,9276
2021-07-10,689056,3255590,44,9326
2021-07-11,689202,3267806,34,9539
2021-07-12,689374,3309244,38,8656
2021-07-13,690814,3342557,76,8685
2021-07-14,692039,3370377,56,9317
2021-07-15,692734,3398430,57,9186
2021-07-16,693838,3432911,52,9692
2021-07-17,694958,3443330,63,10082
2021-07-18,695067,3448497,37,11397
2021-07-19,695578,3479726,55,11784
2021-07-20,695578,3512541,62,11305
2021-07-21,696570,3545830,69,13002
2021-07-22,697553,3583759,42,13655
2021-07-23,698510,3632394,80,14575
2021-07-24,700330,3642999,62,14260
2021-07-25,700476,3652990,85,15335
2021-07-26,700690,3652990,47,15376
2021-07-27,700915,3732759,45,14150
2021-07-28,702411,3732759,46,16533
2021-07-29,702598,3786244,73,17669
2021-07-30,703669,3851453,57,17345
2021-07-31,704769,3883058,56,18912
2021-08-01,705440,3911439,59,18027
2021-08-02,705994,3991348,68,17970
2021-08-03,707084,4085711,103,18901
2021-08-04,707799,4178702,118,20200
2021-08-05,709869,4277071,98,20920
2021-08-06,711436,4406723,121,21379
2021-08-07,712321,4438168,81,21838
2021-08-08,714076,4461861,100,19983
2021-08-09,718384,4566345,91,19603
2021-08-10,722006,4692030,90,19843
2021-08-11,726585,4826641,115,21038
2021-08-12,728012,4855000,108,22782
2021-08-13,732948,5033568,79,23418
2021-08-14,736751,5109476,111,22086
2021-08-15,740164,5228157,87,21882
