,date,mortality,province
0,2016-01-01,3669,กรุงเทพมหานคร
1,2016-02-01,3551,กรุงเทพมหานคร
2,2016-03-01,3710,กรุงเทพมหานคร
3,2016-04-01,3769,กรุงเทพมหานคร
4,2016-05-01,3986,กรุงเทพมหานคร
5,2016-06-01,3357,กรุงเทพมหานคร
6,2016-07-01,3599,กรุงเทพมหานคร
7,2016-08-01,3674,กรุงเทพมหานคร
8,2016-09-01,3634,กรุงเทพมหานคร
9,2016-10-01,3930,กรุงเทพมหานคร
10,2016-11-01,3611,กรุงเทพมหานคร
11,2016-12-01,3733,กรุงเทพมหานคร
12,2017-01-01,3644,กรุงเทพมหานคร
13,2017-02-01,3299,กรุงเทพมหานคร
14,2017-03-01,3662,กรุงเทพมหานคร
15,2017-04-01,3517,กรุงเทพมหานคร
16,2017-05-01,3595,กรุงเทพมหานคร
17,2017-06-01,3533,กรุงเทพมหานคร
18,2017-07-01,3576,กรุงเทพมหานคร
19,2017-08-01,3712,กรุงเทพมหานคร
20,2017-09-01,3552,กรุงเทพมหานคร
21,2017-10-01,3819,กรุงเทพมหานคร
22,2017-11-01,3681,กรุงเทพมหานคร
23,2017-12-01,3781,กรุงเทพมหานคร
24,2018-01-01,3921,กรุงเทพมหานคร
25,2018-02-01,3419,กรุงเทพมหานคร
26,2018-03-01,3707,กรุงเทพมหานคร
27,2018-04-01,3585,กรุงเทพมหานคร
28,2018-05-01,3642,กรุงเทพมหานคร
29,2018-06-01,3482,กรุงเทพมหานคร
30,2018-07-01,3636,กรุงเทพมหานคร
31,2018-08-01,3839,กรุงเทพมหานคร
32,2018-09-01,3741,กรุงเทพมหานคร
33,2018-10-01,3836,กรุงเทพมหานคร
34,2018-11-01,3643,กรุงเทพมหานคร
35,2018-12-01,3732,กรุงเทพมหานคร
36,2019-01-01,3849,กรุงเทพมหานคร
37,2019-02-01,3485,กรุงเทพมหานคร
38,2019-03-01,3836,กรุงเทพมหานคร
39,2019-04-01,4254,กรุงเทพมหานคร
40,2019-05-01,4313,กรุงเทพมหานคร
41,2019-06-01,3671,กรุงเทพมหานคร
42,2019-07-01,3818,กรุงเทพมหานคร
43,2019-08-01,3757,กรุงเทพมหานคร
44,2019-09-01,3859,กรุงเทพมหานคร
45,2019-10-01,4165,กรุงเทพมหานคร
46,2019-11-01,3822,กรุงเทพมหานคร
47,2019-12-01,4024,กรุงเทพมหานคร
48,2020-01-01,3920,กรุงเทพมหานคร
49,2020-02-01,3608,กรุงเทพมหานคร
50,2020-03-01,3832,กรุงเทพมหานคร
51,2020-04-01,3653,กรุงเทพมหานคร
52,2020-05-01,3883,กรุงเทพมหานคร
53,2020-06-01,3470,กรุงเทพมหานคร
54,2020-07-01,3580,กรุงเทพมหานคร
55,2020-08-01,3725,กรุงเทพมหานคร
56,2020-09-01,3553,กรุงเทพมหานคร
57,2020-10-01,3776,กรุงเทพมหานคร
58,2020-11-01,3761,กรุงเทพมหานคร
59,2020-12-01,3884,กรุงเทพมหานคร
60,2021-01-01,4047,กรุงเทพมหานคร
61,2021-02-01,3417,กรุงเทพมหานคร
62,2021-03-01,3649,กรุงเทพมหานคร
63,2021-04-01,3801,กรุงเทพมหานคร
64,2021-05-01,4696,กรุงเทพมหานคร
65,2021-06-01,4648,กรุงเทพมหานคร
66,2021-07-01,7692,กรุงเทพมหานคร
67,2016-01-01,671,สมุทรปราการ
68,2016-02-01,684,สมุทรปราการ
69,2016-03-01,709,สมุทรปราการ
70,2016-04-01,626,สมุทรปราการ
71,2016-05-01,727,สมุทรปราการ
72,2016-06-01,675,สมุทรปราการ
73,2016-07-01,681,สมุทรปราการ
74,2016-08-01,735,สมุทรปราการ
75,2016-09-01,724,สมุทรปราการ
76,2016-10-01,702,สมุทรปราการ
77,2016-11-01,691,สมุทรปราการ
78,2016-12-01,713,สมุทรปราการ
79,2017-01-01,726,สมุทรปราการ
80,2017-02-01,615,สมุทรปราการ
81,2017-03-01,678,สมุทรปราการ
82,2017-04-01,658,สมุทรปราการ
83,2017-05-01,719,สมุทรปราการ
84,2017-06-01,689,สมุทรปราการ
85,2017-07-01,708,สมุทรปราการ
86,2017-08-01,735,สมุทรปราการ
87,2017-09-01,712,สมุทรปราการ
88,2017-10-01,779,สมุทรปราการ
89,2017-11-01,692,สมุทรปราการ
90,2017-12-01,707,สมุทรปราการ
91,2018-01-01,810,สมุทรปราการ
92,2018-02-01,641,สมุทรปราการ
93,2018-03-01,670,สมุทรปราการ
94,2018-04-01,690,สมุทรปราการ
95,2018-05-01,690,สมุทรปราการ
96,2018-06-01,722,สมุทรปราการ
97,2018-07-01,712,สมุทรปราการ
98,2018-08-01,719,สมุทรปราการ
99,2018-09-01,692,สมุทรปราการ
100,2018-10-01,798,สมุทรปราการ
101,2018-11-01,667,สมุทรปราการ
102,2018-12-01,677,สมุทรปราการ
103,2019-01-01,837,สมุทรปราการ
104,2019-02-01,663,สมุทรปราการ
105,2019-03-01,719,สมุทรปราการ
106,2019-04-01,853,สมุทรปราการ
107,2019-05-01,856,สมุทรปราการ
108,2019-06-01,697,สมุทรปราการ
109,2019-07-01,776,สมุทรปราการ
110,2019-08-01,652,สมุทรปราการ
111,2019-09-01,730,สมุทรปราการ
112,2019-10-01,788,สมุทรปราการ
113,2019-11-01,671,สมุทรปราการ
114,2019-12-01,735,สมุทรปราการ
115,2020-01-01,799,สมุทรปราการ
116,2020-02-01,685,สมุทรปราการ
117,2020-03-01,778,สมุทรปราการ
118,2020-04-01,691,สมุทรปราการ
119,2020-05-01,758,สมุทรปราการ
120,2020-06-01,712,สมุทรปราการ
121,2020-07-01,724,สมุทรปราการ
122,2020-08-01,784,สมุทรปราการ
123,2020-09-01,731,สมุทรปราการ
124,2020-10-01,746,สมุทรปราการ
125,2020-11-01,780,สมุทรปราการ
126,2020-12-01,781,สมุทรปราการ
127,2021-01-01,805,สมุทรปราการ
128,2021-02-01,662,สมุทรปราการ
129,2021-03-01,898,สมุทรปราการ
130,2021-04-01,804,สมุทรปราการ
131,2021-05-01,960,สมุทรปราการ
132,2021-06-01,956,สมุทรปราการ
133,2021-07-01,1473,สมุทรปราการ
134,2016-01-01,629,นนทบุรี
135,2016-02-01,612,นนทบุรี
136,2016-03-01,680,นนทบุรี
137,2016-04-01,671,นนทบุรี
138,2016-05-01,729,นนทบุรี
139,2016-06-01,603,นนทบุรี
140,2016-07-01,638,นนทบุรี
141,2016-08-01,667,นนทบุรี
142,2016-09-01,633,นนทบุรี
143,2016-10-01,641,นนทบุรี
144,2016-11-01,637,นนทบุรี
145,2016-12-01,666,นนทบุรี
146,2017-01-01,689,นนทบุรี
147,2017-02-01,562,นนทบุรี
148,2017-03-01,627,นนทบุรี
149,2017-04-01,633,นนทบุรี
150,2017-05-01,638,นนทบุรี
151,2017-06-01,649,นนทบุรี
152,2017-07-01,642,นนทบุรี
153,2017-08-01,670,นนทบุรี
154,2017-09-01,663,นนทบุรี
155,2017-10-01,700,นนทบุรี
156,2017-11-01,657,นนทบุรี
157,2017-12-01,701,นนทบุรี
158,2018-01-01,712,นนทบุรี
159,2018-02-01,622,นนทบุรี
160,2018-03-01,649,นนทบุรี
161,2018-04-01,722,นนทบุรี
162,2018-05-01,649,นนทบุรี
163,2018-06-01,676,นนทบุรี
164,2018-07-01,651,นนทบุรี
165,2018-08-01,703,นนทบุรี
166,2018-09-01,633,นนทบุรี
167,2018-10-01,699,นนทบุรี
168,2018-11-01,652,นนทบุรี
169,2018-12-01,641,นนทบุรี
170,2019-01-01,788,นนทบุรี
171,2019-02-01,661,นนทบุรี
172,2019-03-01,735,นนทบุรี
173,2019-04-01,873,นนทบุรี
174,2019-05-01,796,นนทบุรี
175,2019-06-01,633,นนทบุรี
176,2019-07-01,728,นนทบุรี
177,2019-08-01,702,นนทบุรี
178,2019-09-01,793,นนทบุรี
179,2019-10-01,763,นนทบุรี
180,2019-11-01,678,นนทบุรี
181,2019-12-01,789,นนทบุรี
182,2020-01-01,773,นนทบุรี
183,2020-02-01,644,นนทบุรี
184,2020-03-01,782,นนทบุรี
185,2020-04-01,718,นนทบุรี
186,2020-05-01,748,นนทบุรี
187,2020-06-01,701,นนทบุรี
188,2020-07-01,653,นนทบุรี
189,2020-08-01,761,นนทบุรี
190,2020-09-01,711,นนทบุรี
191,2020-10-01,818,นนทบุรี
192,2020-11-01,777,นนทบุรี
193,2020-12-01,761,นนทบุรี
194,2021-01-01,767,นนทบุรี
195,2021-02-01,713,นนทบุรี
196,2021-03-01,797,นนทบุรี
197,2021-04-01,715,นนทบุรี
198,2021-05-01,882,นนทบุรี
199,2021-06-01,888,นนทบุรี
200,2021-07-01,1314,นนทบุรี
201,2016-01-01,561,ปทุมธานี
202,2016-02-01,623,ปทุมธานี
203,2016-03-01,635,ปทุมธานี
204,2016-04-01,631,ปทุมธานี
205,2016-05-01,676,ปทุมธานี
206,2016-06-01,525,ปทุมธานี
207,2016-07-01,540,ปทุมธานี
208,2016-08-01,624,ปทุมธานี
209,2016-09-01,581,ปทุมธานี
210,2016-10-01,587,ปทุมธานี
211,2016-11-01,573,ปทุมธานี
212,2016-12-01,563,ปทุมธานี
213,2017-01-01,620,ปทุมธานี
214,2017-02-01,527,ปทุมธานี
215,2017-03-01,582,ปทุมธานี
216,2017-04-01,509,ปทุมธานี
217,2017-05-01,579,ปทุมธานี
218,2017-06-01,577,ปทุมธานี
219,2017-07-01,587,ปทุมธานี
220,2017-08-01,597,ปทุมธานี
221,2017-09-01,624,ปทุมธานี
222,2017-10-01,622,ปทุมธานี
223,2017-11-01,621,ปทุมธานี
224,2017-12-01,634,ปทุมธานี
225,2018-01-01,734,ปทุมธานี
226,2018-02-01,585,ปทุมธานี
227,2018-03-01,584,ปทุมธานี
228,2018-04-01,608,ปทุมธานี
229,2018-05-01,596,ปทุมธานี
230,2018-06-01,611,ปทุมธานี
231,2018-07-01,587,ปทุมธานี
232,2018-08-01,626,ปทุมธานี
233,2018-09-01,576,ปทุมธานี
234,2018-10-01,671,ปทุมธานี
235,2018-11-01,632,ปทุมธานี
236,2018-12-01,597,ปทุมธานี
237,2019-01-01,655,ปทุมธานี
238,2019-02-01,637,ปทุมธานี
239,2019-03-01,616,ปทุมธานี
240,2019-04-01,768,ปทุมธานี
241,2019-05-01,679,ปทุมธานี
242,2019-06-01,580,ปทุมธานี
243,2019-07-01,667,ปทุมธานี
244,2019-08-01,638,ปทุมธานี
245,2019-09-01,681,ปทุมธานี
246,2019-10-01,674,ปทุมธานี
247,2019-11-01,652,ปทุมธานี
248,2019-12-01,691,ปทุมธานี
