Date,Bus (inter-region),BTS,BKK Airport,Regional Airports,Highway,Bus (bkk)
1/1/2020,"233,330","1,333,059","785,727","461,400","14,674","24,012"
2/1/2020,"252,899","1,551,116","959,677","720,500","14,974","25,097"
3/1/2020,"225,731","1,677,364","982,485","782,100","13,036","25,225"
4/1/2020,"216,919","1,492,901","821,017","574,400","12,163","25,114"
5/1/2020,"234,611","1,499,459","803,427","503,000","12,468","26,637"
6/1/2020,"153,605","1,834,671","1,053,814","855,100","11,994","25,138"
7/1/2020,"142,318","1,863,899","1,047,865","869,400","12,121","25,653"
8/1/2020,"138,700","1,890,145","1,045,365","871,000","12,420","24,551"
9/1/2020,"139,202","1,894,221","1,034,536","891,600","13,528","24,039"
10/1/2020,"155,553","1,647,262","1,034,733","950,300","14,171","24,315"
11/1/2020,"150,419","1,455,535","839,636","698,600","13,083","21,772"
12/1/2020,"156,634","1,300,343","814,790","554,100","13,671","24,185"
13/1/2020,"143,982","1,646,257","1,005,668","858,200","14,122","22,717"
14/1/2020,"138,215","1,611,952","1,025,563","866,800","14,014","22,765"
15/1/2020,"136,102","1,681,081","1,048,013","873,600","14,065","22,557"
16/1/2020,"143,219","1,618,097","995,242","872,500","14,865","23,305"
17/1/2020,"155,363","1,656,064","1,023,221","927,500","15,412","24,325"
18/1/2020,"154,020","1,426,672","861,020","665,200","14,404","22,853"
19/1/2020,"162,852","1,359,540","814,408","555,800","14,466","24,785"
20/1/2020,"151,027","1,570,930","1,023,499","865,500","15,271","23,607"
21/1/2020,"143,574","1,599,647","1,032,404","869,200","14,475","21,986"
22/1/2020,"142,722","1,584,561","1,008,405","863,200","14,817","22,127"
23/1/2020,"145,672","1,625,301","1,008,231","868,700","15,503","22,628"
24/1/2020,"161,263","1,703,222","977,467","887,500","14,832","23,606"
25/1/2020,"154,822","1,400,284","843,602","616,800","14,032","22,931"
26/1/2020,"166,247","1,254,434","791,382","527,200","13,332","25,432"
27/1/2020,"153,945","1,649,971","1,002,019","827,200","14,026","23,716"
28/1/2020,"144,313","1,636,256","1,004,739","852,700","12,680","22,992"
29/1/2020,"141,870","1,622,230","1,007,042","847,400","11,994","22,598"
30/1/2020,"142,709","1,685,989","998,062","863,200","12,387","22,889"
31/1/2020,"160,689","1,617,737","1,039,699","950,500","12,734","22,869"
1/2/2020,"155,232","1,336,418","890,049","655,000","11,148","20,694"
2/2/2020,"163,819","1,116,921","842,891","551,700","11,128","21,698"
3/2/2020,"151,378","1,605,334","1,040,665","855,800","11,337","21,145"
